[Line 1] heheh enjoy my tyler...
[Line 3] [Output:5553]: [PART] Workspace.Camera.WindPart | Size: 600, 150, 2
[Line 97] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 98] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.SeafloorPiece | Size: 500, 1, 500
[Line 99] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 127, 12, 131
[Line 100] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 53, 7, 58
[Line 101] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 39, 15, 85
[Line 102] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 200, 1, 223
[Line 103] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 104] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 105] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 178, 1, 209
[Line 106] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 107] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 108] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 109] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 127, 12, 131
[Line 110] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 91, 8.132075309753418, 45.01886749267578
[Line 111] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 71, 18, 58
[Line 112] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 41, 1, 109
[Line 113] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 114] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 115] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 178, 1, 209
[Line 116] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 117] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 118] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 119] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 120] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 226, 12, 193
[Line 121] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 35, 26, 63
[Line 122] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 53, 35, 58
[Line 123] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 143, 14, 28
[Line 124] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 127, 12, 131
[Line 125] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 188, 1, 186
[Line 126] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 53, 7, 58
[Line 127] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 128] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 129] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 130] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 131] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 132] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 226, 12, 193
[Line 133] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 71, 18, 58
[Line 134] [Output:5553]: [PART] Workspace.Camera.UnderFX | Size: 800, 0.20000000298023224, 800
[Line 232] [Output:5553]: [PART] Workspace.Map.QuestObjects.Items.Herb | Size: 1.100000023841858, 1.100000023841858, 1.100000023841858
[Line 233] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenBridge.Fragmentable | Size: 63.5, 2, 2
[Line 234] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenBridge.Fragmentable | Size: 12, 2, 0.4000000059604645
[Line 235] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 26.799999237060547, 0.6000000238418579, 0.6000000238418579
[Line 236] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 9, 0.5, 0.5
[Line 237] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 0.30000001192092896, 0.30000001192092896, 13.399999618530273
[Line 238] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 0.30000001192092896, 2.4000000953674316, 2.4000000953674316
[Line 239] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 0.30000001192092896, 2.4000000953674316, 2.4000000953674316
[Line 240] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 0.30000001192092896, 2.4000000953674316, 2.4000000953674316
[Line 241] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 5.300000190734863, 0.5, 0.5
[Line 242] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 5.300000190734863, 0.5, 0.5
[Line 243] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 10.300000190734863, 1.5, 1
[Line 244] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 10.300000190734863, 1.5, 1
[Line 245] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 5.300000190734863, 1.5, 1
[Line 246] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 1, 3.1999998092651367, 3.200000047683716
[Line 247] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 25.299999237060547, 1.5, 1
[Line 248] [Output:5553]: [PART] Workspace.Map.QuestObjects.BrokenCrane.Part | Size: 0.30000001192092896, 2.4000000953674316, 2.4000000953674316
[Line 249] [Output:5553]: [PART] Workspace.Map.QuestObjects.SpecialTree.Needles | Size: 43.108253479003906, 60.90573501586914, 42.89478302001953
[Line 250] [Output:5553]: [PART] Workspace.Map.QuestObjects.WoodenDaggers.Dagger | Size: 0.10000000149011612, 1.000000238418579, 0.29999998211860657
[Line 290] [Output:5553]: [PART] Workspace.Map.QuestObjects.Hat | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 335] [Output:5553]: [PART] Workspace.Map.QuestObjects.Edward Kenton's Armor.UpperTorso | Size: 2.0010600090026855, 1.6637287139892578, 1.6470212936401367
[Line 336] [Output:5553]: [PART] Workspace.Map.QuestObjects.ArenaTrees.Tree.Trunk | Size: 12.370702743530273, 37.35954284667969, 12.359352111816406
[Line 337] [Output:5553]: [PART] Workspace.Map.QuestObjects.ArenaTrees.Tree.Trunk | Size: 12.370702743530273, 37.35954284667969, 12.359352111816406
[Line 338] [Output:5553]: [PART] Workspace.Map.QuestObjects.ArenaTrees.Tree.Trunk | Size: 12.370702743530273, 37.35954284667969, 12.359352111816406
[Line 339] [Output:5553]: [PART] Workspace.Map.QuestObjects.ArenaTrees.Tree.Leaves | Size: 66, 44, 66
[Line 340] [Output:5553]: [PART] Workspace.Map.QuestObjects.ArenaTrees.Tree.Leaves | Size: 66, 44, 66
[Line 341] [Output:5553]: [PART] Workspace.Map.QuestObjects.ArenaTrees.Part | Size: 39.99998474121094, 4, 9
[Line 342] [Output:5553]: [PART] Workspace.Map.QuestObjects.ArenaTrees.Part | Size: 104.99998474121094, 1, 91
[Line 343] [Output:5553]: [PART] Workspace.Map.QuestObjects.ArenaTrees.Part | Size: 84.99998474121094, 1, 62
[Line 344] [Output:5553]: [PART] Workspace.Map.QuestObjects.WarehouseDoor.Part | Size: 2, 0.3999999761581421, 0.3999999761581421
[Line 384] [Output:5553]: [PART] Workspace.Map.The Myriad.Center | Size: 1, 1, 1
[Line 390] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.RightLowerLeg | Size: 0.36643603444099426, 0.9914350509643555, 0.3649638891220093
[Line 391] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 0.9925929307937622, 0.3051317632198334, 0.3051317632198334
[Line 392] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 2.199948787689209, 0.329179584980011, 0.329179584980011
[Line 393] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 8.680134773254395, 0.4133397340774536, 0.4133397340774536
[Line 394] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 4.5901899337768555, 0.9180379509925842, 0.9180379509925842
[Line 395] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Book Shelf.Books | Size: 13.749039649963379, 8.014469146728516, 0.6540960669517517
[Line 396] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.RightUpperArm | Size: 0.6054509878158569, 0.8150095343589783, 0.39975786209106445
[Line 397] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 0.3198196291923523, 0.3198196291923523, 1.0999997854232788
[Line 398] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 0.3198196291923523, 0.3198196291923523, 0.5999997854232788
[Line 399] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 0.3198196291923523, 0.3198196291923523, 0.8147860169410706
[Line 400] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 0.3198196291923523, 0.3198196291923523, 0.5999997854232788
[Line 401] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 0.3198196291923523, 0.3198196291923523, 0.5999997854232788
[Line 402] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 0.34216761589050293, 3.421677589416504, 2.73734188079834
[Line 403] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 4, 1, 1
[Line 404] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 1.3922826051712036, 0.16379791498184204, 0.16379788517951965
[Line 405] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 1.3922826051712036, 0.16379791498184204, 0.16379788517951965
[Line 406] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 1.3922826051712036, 0.16379791498184204, 0.16379788517951965
[Line 407] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Wick | Size: 0.4913938343524933, 0.16379795968532562, 0.16379795968532562
[Line 408] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Fragmentable | Size: 1.3868366479873657, 0.6693245768547058, 1.6733099222183228
[Line 409] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Fragmentable | Size: 1.1999998092651367, 0.8999999761581421, 1.199998140335083
[Line 410] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 1.8838553428649902, 0.5, 4.305742263793945
[Line 411] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.House.Part | Size: 9, 1, 3
[Line 412] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.House.Part | Size: 9, 1, 2
[Line 413] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.House.Part | Size: 10, 5, 1
[Line 414] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.House.Part | Size: 26, 2, 2
[Line 415] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 0.5000025033950806, 1, 4
[Line 416] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 0.5000139474868774, 5.299999237060547, 3
[Line 417] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 11, 4, 0.5
[Line 418] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 2.5438497066497803, 0.5, 1.092411756515503
[Line 419] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 4, 0.5000009536743164, 9
[Line 420] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 2.508000373840332, 0.5, 10
[Line 421] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 12.208000183105469, 0.5, 10
[Line 422] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 0.5000017881393433, 7.199999809265137, 4
[Line 423] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 1.2346546649932861, 0.5, 3.3631343841552734
[Line 424] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 1.3000001907348633, 0.5000053644180298, 2
[Line 425] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 1.3000001907348633, 0.5000053644180298, 2
[Line 426] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 9.003832817077637, 0.5000004768371582, 8
[Line 427] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Siding | Size: 2.056036949157715, 0.5, 3.594615936279297
[Line 428] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 9.056126594543457, 0.3339373469352722, 0.3339373469352722
[Line 429] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 4.442050457000732, 1.110512614250183, 1.110512614250183
[Line 430] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 7, 0.5, 0.5
[Line 431] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Decoration.Part | Size: 10.5, 0.5, 0.5
[Line 432] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Barrels.Barrel | Size: 2.6713016033172607, 3.256817102432251, 2.798506498336792
[Line 433] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.Artificial.Meshes/PolygonDungeon_Environments_03_SM_Env_Bone_Skull_Jaw_01 | Size: 8.94642162322998, 5.838007926940918, 15.714177131652832
