[Line 385] [Output:5553]: [PART] Workspace.Map.IslandCloud.Fragmentable.Tallgrass.TallGrass | Size: 42, 3, 88
[Line 843] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.EnemyTowerSpawn | Size: 105, 1, 105
[Line 1580] [Output:5553]: [PART] Workspace.Map.Redwake.Artificial.CargoSpawn.Lantern.Frame | Size: 1.6000365018844604, 0.9232352375984192, 0.923141360282898
[Line 1581] [Output:5553]: [PART] Workspace.Map.Redwake.Artificial.CargoSpawn.Lantern.Screen | Size: 1.0461630821228027, 0.5538510084152222, 0.06153895705938339
[Line 1582] [Output:5553]: [PART] Workspace.Map.Redwake.Artificial.CargoSpawn.Lantern.Screen | Size: 1.0461630821228027, 0.5538510084152222, 0.06153895705938339
[Line 1583] [Output:5553]: [PART] Workspace.Map.Redwake.Artificial.CargoSpawn.Lantern.Wick | Size: 0.36923396587371826, 0.12307800352573395, 0.12307800352573395
[Line 1584] [Output:5553]: [PART] Workspace.Map.Redwake.Artificial.CargoSpawn.Part | Size: 3.799999952316284, 3.799999952316284, 3.799999952316284
[Line 2004] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2005] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2006] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2007] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2008] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2009] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2010] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2011] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2012] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2013] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2014] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2015] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2016] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2017] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2018] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2019] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2020] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2021] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2022] [Output:5553]: [PART] Workspace.Map.Redwake.CitizenSpawns.CitizenPos | Size: 4, 6, 1
[Line 2023] [Output:5553]: [PART] Workspace.Map.Redwake.Spawns.Part | Size: 4, 6, 1
[Line 2041] [Output:5553]: [PART] Workspace.Map.Redwake.StorySpawns.6 | Size: 4, 6, 1
[Line 2580] [Output:5553]: [PART] Workspace.Map.Thorin's Refuge.HerbSpawns.MushroomSpawn | Size: 8, 1, 9
[Line 2581] [Output:5553]: [PART] Workspace.Map.Thorin's Refuge.HerbSpawns.HerbSpawn | Size: 13, 1, 17
[Line 2582] [Output:5553]: [PART] Workspace.Map.Thorin's Refuge.HerbSpawns.HerbSpawn | Size: 19, 1, 10
[Line 2631] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Part | Size: 4, 1, 1
[Line 2632] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.452523231506348
[Line 2633] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4244961738586426
[Line 2634] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.424753189086914
[Line 2635] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.248044967651367
[Line 2636] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.325250625610352
[Line 2637] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 46.22265625
[Line 2638] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.424738883972168
[Line 2639] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.248044967651367
[Line 2640] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Part | Size: 4, 1, 1
[Line 2641] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.562394142150879, 0.30000001192092896, 0.30000001192092896
[Line 2642] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.562385559082031, 0.30000001192092896, 0.30000001192092896
[Line 2643] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.562398910522461, 0.30000001192092896, 0.30000001192092896
[Line 2644] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.56237506866455, 0.30000001192092896, 0.30000001192092896
[Line 2645] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4246718883514404
[Line 2646] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4246718883514404
[Line 2647] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4246718883514404
[Line 2648] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4246718883514404
[Line 2649] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4248387813568115
[Line 2650] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.424743413925171
[Line 2651] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.452523231506348
[Line 2652] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.42470121383667
[Line 2653] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.452523231506348
[Line 2654] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.562424659729004, 0.30000001192092896, 0.30000001192092896
[Line 2655] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.325250625610352
[Line 2656] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.562398910522461, 0.30000001192092896, 0.30000001192092896
[Line 2657] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Part | Size: 12, 12, 0.40000003576278687
[Line 2658] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.627874374389648
[Line 2659] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Part | Size: 12, 12, 0.40000003576278687
[Line 2660] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Part | Size: 12, 11.99825382232666, 0.40000003576278687
[Line 2661] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.Effects.SmokeEffect | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 2662] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.Effects.SmokeEffect | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 2663] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4246718883514404
[Line 2664] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4246718883514404
[Line 2665] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4246718883514404
[Line 2666] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.56237506866455, 0.30000001192092896, 0.30000001192092896
[Line 2667] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.562387466430664, 0.30000001192092896, 0.30000001192092896
[Line 2668] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.562398910522461, 0.30000001192092896, 0.30000001192092896
[Line 2669] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.452523231506348
[Line 2670] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4244961738586426
[Line 2671] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.452523231506348
[Line 2672] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.424748659133911
[Line 2673] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.627874374389648
[Line 2674] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 46.22265625
[Line 2675] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4247164726257324
[Line 2676] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Part | Size: 4, 1, 1
[Line 2677] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Part | Size: 12, 12, 0.40000003576278687
[Line 2678] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Part | Size: 4, 1, 1
[Line 2679] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Part | Size: 4, 1, 1
[Line 2680] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4246718883514404
[Line 2681] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.452523231506348
[Line 2682] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.424743413925171
[Line 2683] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 12.562398910522461, 0.30000001192092896, 0.30000001192092896
[Line 2684] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 3.4246718883514404
[Line 2685] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.WoodBridge.Rope | Size: 0.30000001192092896, 0.30000001192092896, 9.627874374389648
[Line 2686] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.ParkourPole | Size: 44, 2, 2
[Line 2687] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.ParkourPole | Size: 41, 2, 2
[Line 2688] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.ParkourPole | Size: 44, 2, 2
[Line 2689] [Output:5553]: [PART] Workspace.Map.Harvest Island.Artificial.Treasure | Size: 24.240509033203125, 2.8957834243774414, 20.364715576171875
[Line 2690] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Path.Part | Size: 30, 1, 23
[Line 2691] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Path.Part | Size: 32.527008056640625, 1, 18
[Line 2692] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Path.Part | Size: 17, 1, 32.526771545410156
[Line 2693] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 49, 34, 46
[Line 2694] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 16, 21, 30
[Line 2695] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 61, 288, 73
[Line 2696] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 129, 1, 164
[Line 2697] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 204, 266, 138
[Line 2698] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 177, 1, 138
[Line 2699] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 204, 1, 138
[Line 2700] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 47, 198, 46
[Line 2701] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 110, 1, 118
[Line 2702] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 177, 194, 138
[Line 2703] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 177, 1, 138
[Line 2704] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 192, 1, 138
[Line 2705] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 34, 106, 35
[Line 2706] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 49, 288, 60
[Line 2707] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 31, 235, 24
[Line 2708] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 213, 198, 138
[Line 2709] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 15, 10, 13
[Line 2710] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 20, 12, 34
[Line 2711] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 25, 10, 10
[Line 2712] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 34, 38, 34
[Line 2713] [Output:5553]: [PART] Workspace.Map.Harvest Island.Fragmentable.Part | Size: 39, 1, 39
